,date,close
702,22/11/2017,1723.54
703,23/11/2017,1721.27
704,24/11/2017,1717.23
705,27/11/2017,1719.86
706,28/11/2017,1714.42
707,29/11/2017,1720.38
708,30/11/2017,1717.86
709,01/12/2017,1717.86
710,04/12/2017,1713.13
711,05/12/2017,1724.84
712,06/12/2017,1718.33
713,07/12/2017,1719.05
714,08/12/2017,1721.25
715,11/12/2017,1719.47
716,12/12/2017,1729.57
717,13/12/2017,1737.66
718,14/12/2017,1759
719,15/12/2017,1753.07
720,18/12/2017,1751.64
721,19/12/2017,1736.95
722,20/12/2017,1746.63
723,21/12/2017,1751.21
724,22/12/2017,1760.24
725,26/12/2017,1759.99
726,27/12/2017,1771.76
727,28/12/2017,1779.1
728,29/12/2017,1796.81
729,02/01/2018,1782.7
730,03/01/2018,1792.79
731,04/01/2018,1803.45
732,05/01/2018,1817.97
733,08/01/2018,1832.15
734,09/01/2018,1826.95
735,10/01/2018,1822.92
736,11/01/2018,1816.88
737,12/01/2018,1822.67
738,15/01/2018,1825.91
739,16/01/2018,1826.03
740,17/01/2018,1828.63
741,18/01/2018,1821.6
742,19/01/2018,1828.83
743,22/01/2018,1833.15
744,23/01/2018,1838.04
745,24/01/2018,1837.04
746,25/01/2018,1845.86
747,26/01/2018,1853.92
748,29/01/2018,1870.52
749,30/01/2018,1868.58
750,02/02/2018,1870.48
751,05/02/2018,1853.07
752,06/02/2018,1812.45
753,07/02/2018,1836.68
754,08/02/2018,1839.44
755,09/02/2018,1819.82
756,12/02/2018,1830.17
757,13/02/2018,1833.02
758,14/02/2018,1834.93
759,15/02/2018,1838.28
760,19/02/2018,1857.32
761,20/02/2018,1855.99
762,21/02/2018,1858.17
763,22/02/2018,1855.07
764,23/02/2018,1861.5
765,26/02/2018,1860.08
766,27/02/2018,1871.46
767,28/02/2018,1856.2
768,01/03/2018,1860.86
769,02/03/2018,1856.07
770,05/03/2018,1842.62
771,06/03/2018,1848.37
772,07/03/2018,1837.9
773,08/03/2018,1839.62
774,09/03/2018,1843.92
775,12/03/2018,1861.22
776,13/03/2018,1864.03
777,14/03/2018,1857.06
778,15/03/2018,1845.27
779,16/03/2018,1846.39
780,19/03/2018,1847.94
781,20/03/2018,1856.39
782,21/03/2018,1865.8
783,22/03/2018,1876.87
784,23/03/2018,1865.22
785,26/03/2018,1859.91
786,27/03/2018,1862.45
787,28/03/2018,1857.87
788,29/03/2018,1856.35
789,30/03/2018,1863.46
790,02/04/2018,1858.35
791,03/04/2018,1850.78
792,04/04/2018,1815.94
793,05/04/2018,1836.13
794,06/04/2018,1837.01
795,09/04/2018,1849.71
796,10/04/2018,1860.98
797,11/04/2018,1869.89
798,12/04/2018,1873.62
799,13/04/2018,1868.47
800,16/04/2018,1878.76
801,17/04/2018,1880.49
802,18/04/2018,1879.32
803,19/04/2018,1895.18
804,20/04/2018,1887.75
805,23/04/2018,1880.36
806,24/04/2018,1865.34
807,25/04/2018,1851.93
808,26/04/2018,1852.27
809,27/04/2018,1863.47
810,30/04/2018,1870.37
811,02/05/2018,1852.03
812,03/05/2018,1851.8
813,04/05/2018,1841.83
814,07/05/2018,1828.2
815,08/05/2018,1846.51
816,14/05/2018,1850.42
817,15/05/2018,1848.2
818,16/05/2018,1858.26
819,17/05/2018,1854.44
820,18/05/2018,1854.5
821,21/05/2018,1853.58
822,22/05/2018,1845.03
823,23/05/2018,1804.25
824,24/05/2018,1775.66
825,25/05/2018,1797.4
826,28/05/2018,1775.84
827,30/05/2018,1719.28
828,31/05/2018,1740.62
829,01/06/2018,1756.38
830,04/06/2018,1755.17
831,05/06/2018,1755.14
832,06/06/2018,1777.13
833,07/06/2018,1785.81
834,08/06/2018,1778.32
835,11/06/2018,1775.8
836,12/06/2018,1764.16
837,13/06/2018,1763.57
838,14/06/2018,1761.78
839,18/06/2018,1743.43
840,19/06/2018,1715.36
841,20/06/2018,1709.75
842,21/06/2018,1692.32
843,22/06/2018,1694.15
844,25/06/2018,1678.1
845,26/06/2018,1675.86
846,27/06/2018,1666.08
847,28/06/2018,1665.68
848,29/06/2018,1691.5
849,02/07/2018,1685.05
850,03/07/2018,1680.37
851,04/07/2018,1688.45
852,05/07/2018,1690.65
853,06/07/2018,1663.86
854,09/07/2018,1672.63
855,10/07/2018,1687.13
856,11/07/2018,1688.77
857,12/07/2018,1703.57
858,13/07/2018,1721.93
859,16/07/2018,1726.67
860,17/07/2018,1737.28
861,18/07/2018,1753.07
862,19/07/2018,1759.24
863,20/07/2018,1754.67
864,23/07/2018,1757.96
865,24/07/2018,1762.93
866,25/07/2018,1763.78
867,26/07/2018,1766.23
868,27/07/2018,1769.14
869,30/07/2018,1770.26
870,31/07/2018,1784.25
871,01/08/2018,1788.31
872,02/08/2018,1778.13
873,03/08/2018,1780.09
874,06/08/2018,1779.75
875,07/08/2018,1791.09
876,08/08/2018,1804.73
877,09/08/2018,1804.95
878,10/08/2018,1805.75
879,13/08/2018,1783.34
880,14/08/2018,1783.78
881,15/08/2018,1785.94
882,16/08/2018,1777.27
883,17/08/2018,1783.47
884,20/08/2018,1787.58
885,21/08/2018,1798.11
886,23/08/2018,1810.87
887,24/08/2018,1808.59
888,27/08/2018,1811.6
889,28/08/2018,1826.9
890,29/08/2018,1820.64
891,30/08/2018,1819.66
892,03/09/2018,1813.58
893,04/09/2018,1812.76
894,05/09/2018,1795.5
895,06/09/2018,1798.57
896,07/09/2018,1799.17
897,12/09/2018,1785.25
898,13/09/2018,1792.6
899,14/09/2018,1803.76
900,18/09/2018,1792.94
901,19/09/2018,1800.71
902,20/09/2018,1803.7
